DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Phylum_counts multibar
FIELD_COLORS,#4b89b4,#bfd0e8,#ffa556,#ffcfa0,#4ea04e,#addfa3,#d65b5c,#ffb6b5,#a080bd,#c9bbd5,#8c665e,#c4a8a2,#e397cb,#f7c9dd,#7f7f7f,#c7c7c7,#bcbd50,#dbdba4,#4ec3cf,#b3dde5,#bdbdbd
FIELD_LABELS,Pseudomonadota,Bacillota,Actinomycetota,Bacteroidota,Chloroflexota,Spirochaetota,Verrucomicrobiota,Acidobacteriota,Thermotogota,Planctomycetota,Mycoplasmatota,Lentisphaerota,Ignavibacteriota,Myxococcota,Fusobacteriota,Armatimonadota,Thermodesulfobacteriota,Atribacterota,Balneolota,Calditrichota,Other
#=================================================================#
DATA
node_11214,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1126,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_11268,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_11278,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_11289,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
node_1134,10,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
node_1151,3,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
node_11587,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1168,0,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12152,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_12270,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12309,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12484,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12504,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_12507,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12515,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12527,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12552,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12565,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12573,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12594,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12601,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_12608,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
