Entry	Reviewed	Length	Organism (ID)	PDB	Superkingdom	Phylum
G3XD97	reviewed	340	208964		Bacteria	Pseudomonadota
P02924	reviewed	329	83333	1ABE;1ABF;1APB;1BAP;2WRZ;5ABP;6ABP;7ABP;8ABP;9ABP;	Bacteria	Pseudomonadota
P0ACP1	reviewed	334	83333	1UXC;1UXD;2IKS;	Bacteria	Pseudomonadota
Q88HH7	reviewed	339	160488		Bacteria	Pseudomonadota
Q9KM69	reviewed	326	243277		Bacteria	Pseudomonadota
A0A0M1P0M0	unreviewed	633	1705565		Bacteria	Bacillota
A0A100YV14	unreviewed	634	1299998		Bacteria	Actinomycetota
A0A1C7IBZ4	unreviewed	631	1796616		Bacteria	Bacillota
A0A1R4KFK1	unreviewed	632	1255609		Bacteria	Bacillota
A0A200JEH2	unreviewed	633	1834192		Bacteria	Bacillota
A0A261FS24	unreviewed	627	1603886		Bacteria	Actinomycetota
A0A2A3U6M9	unreviewed	325	2021370		Bacteria	Bacteroidota
A0A3A6PGZ5	unreviewed	641	1276110		Bacteria	Bacillota
A0A3N1YPD2	unreviewed	159	1424653		Bacteria	Campylobacterota
A0A485EFL7	unreviewed	664	287		Bacteria	Pseudomonadota
A0A4R2JIX4	unreviewed	633	1532		Bacteria	Bacillota
A0A4S2DKX2	unreviewed	629	84031		Bacteria	Bacillota
A0A4U8Q803	unreviewed	635	180332		Bacteria	Bacillota
A0A4V0Z7S4	unreviewed	633	33035		Bacteria	Bacillota
A0A6I3MGG0	unreviewed	668	88376		Bacteria	Actinomycetota
A0A7M2REU4	unreviewed	640	2779518		Bacteria	Bacillota
A0A8G1TQH3	unreviewed	633	2292195		Bacteria	Bacillota
A0A943L218	unreviewed	629	1506		Bacteria	Bacillota
P0A4T1	reviewed	328	170187		Bacteria	Bacillota
P0A4T2	reviewed	328	171101		Bacteria	Bacillota
P0ACP5	reviewed	331	83333		Bacteria	Pseudomonadota
P18811	reviewed	342	83333		Bacteria	Pseudomonadota
P21867	reviewed	336	562		Bacteria	Pseudomonadota
P37517	reviewed	311	224308		Bacteria	Bacillota
P38683	reviewed	342	83333		Bacteria	Pseudomonadota
Q8NMF0	reviewed	358	196627	3H5T;	Bacteria	Actinomycetota
A0A014M293	unreviewed	327	69222		Bacteria	Pseudomonadota
A0A021WYV6	unreviewed	327	1410620		Bacteria	Pseudomonadota
A0A031G6M9	unreviewed	334	1470589		Bacteria	Pseudomonadota
A0A059L438	unreviewed	334	1419583		Bacteria	Pseudomonadota
A0A060IAN7	unreviewed	327	1301032		Bacteria	Pseudomonadota
A0A068S7H3	unreviewed	1843	1263082		Eukaryota	Mucoromycota
A0A069B958	unreviewed	333	28450		Bacteria	Pseudomonadota
A0A069BB23	unreviewed	331	28450		Bacteria	Pseudomonadota
A0A069NY71	unreviewed	335	1071679		Bacteria	Pseudomonadota
A0A069PGI9	unreviewed	334	60547		Bacteria	Pseudomonadota
A0A069PQY0	unreviewed	337	60547		Bacteria	Pseudomonadota
A0A071LSG4	unreviewed	329	1224318		Bacteria	Pseudomonadota
A0A071MFB6	unreviewed	337	95486		Bacteria	Pseudomonadota
A0A071MIX3	unreviewed	331	95486		Bacteria	Pseudomonadota
A0A076LWI3	unreviewed	327	667120		Bacteria	Pseudomonadota
A0A078LGH7	unreviewed	329	545		Bacteria	Pseudomonadota
A0A080IYP0	unreviewed	329	1444163		Bacteria	Pseudomonadota
A0A084A6A2	unreviewed	327	1410619		Bacteria	Pseudomonadota
A0A084DHX6	unreviewed	331	1506588		Bacteria	Pseudomonadota
A0A084DPE0	unreviewed	331	1506588		Bacteria	Pseudomonadota
A0A085ASK3	unreviewed	326	1005994		Bacteria	Pseudomonadota
A0A085GCZ5	unreviewed	329	1006004		Bacteria	Pseudomonadota
A0A085V116	unreviewed	334	317		Bacteria	Pseudomonadota
A0A085VBU5	unreviewed	334	317		Bacteria	Pseudomonadota
A0A086D5M7	unreviewed	329	1492922		Bacteria	Pseudomonadota
A0A086EER7	unreviewed	327	180957		Bacteria	Pseudomonadota
A0A087FUY8	unreviewed	334	244366		Bacteria	Pseudomonadota
A0A087L3E1	unreviewed	327	1524467		Bacteria	Pseudomonadota
A0A088U8U8	unreviewed	331	95486		Bacteria	Pseudomonadota
A0A088UFS5	unreviewed	334	95486		Bacteria	Pseudomonadota
A0A089ZQI8	unreviewed	333	216142		Bacteria	Pseudomonadota
A0A090FDR6	unreviewed	330	69974		Bacteria	Pseudomonadota
A0A090FVB3	unreviewed	330	69974		Bacteria	Pseudomonadota
A0A090GNK1	unreviewed	330	408184		Bacteria	Pseudomonadota
A0A090V524	unreviewed	329	1115515		Bacteria	Pseudomonadota
A0A093RWC2	unreviewed	327	55207		Bacteria	Pseudomonadota
A0A093USC3	unreviewed	327	2042057		Bacteria	Pseudomonadota
A0A094U4F5	unreviewed	327	78398		Bacteria	Pseudomonadota
A0A095T073	unreviewed	327	642227		Bacteria	Pseudomonadota
A0A095W0G7	unreviewed	331	28095		Bacteria	Pseudomonadota
A0A097R2F2	unreviewed	326	1453496		Bacteria	Pseudomonadota
A0A0A1HRL6	unreviewed	334	984195		Bacteria	Pseudomonadota
A0A0A1YWU4	unreviewed	326	1324332		Bacteria	Pseudomonadota
A0A0A1Z1B0	unreviewed	334	1324332		Bacteria	Pseudomonadota
A0A0A6D8Q9	unreviewed	334	587753		Bacteria	Pseudomonadota
A0A0A7MK62	unreviewed	336	202947		Bacteria	Pseudomonadota
A0A0A8USP1	unreviewed	271	449		Bacteria	Pseudomonadota
A0A0B1R4M6	unreviewed	327	1076549		Bacteria	Pseudomonadota
A0A0B1Y145	unreviewed	334	1217052		Bacteria	Pseudomonadota
A0A0B1YYZ3	unreviewed	334	104087		Bacteria	Pseudomonadota
A0A0B6RSX5	unreviewed	334	41899		Bacteria	Pseudomonadota
A0A0B6RYF8	unreviewed	331	41899		Bacteria	Pseudomonadota
A0A0B7DCK9	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0C1WQ63	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0C2E6Z7	unreviewed	335	226910		Bacteria	Pseudomonadota
A0A0C2N0G7	unreviewed	334	550743		Bacteria	Pseudomonadota
A0A0C3E9X9	unreviewed	332	50718		Bacteria	Pseudomonadota
A0A0C3EFM5	unreviewed	331	866350		Bacteria	Pseudomonadota
A0A0D0FXE8	unreviewed	334	1542965		Bacteria	Pseudomonadota
A0A0D0HK63	unreviewed	331	1542965		Bacteria	Pseudomonadota
A0A0D0PJE2	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0D5VDZ3	unreviewed	332	134537		Bacteria	Pseudomonadota
A0A0D6E480	unreviewed	331	1610576		Bacteria	Pseudomonadota
A0A0D7LRA2	unreviewed	329	546		Bacteria	Pseudomonadota
A0A0D8VZ65	unreviewed	329	562		Bacteria	Pseudomonadota
A0A0D9AQG7	unreviewed	334	316		Bacteria	Pseudomonadota
A0A0E0XZC8	unreviewed	329	1133852		Bacteria	Pseudomonadota
A0A0E1CC68	unreviewed	326	1420012		Bacteria	Pseudomonadota
A0A0E1LYN0	unreviewed	329	745156		Bacteria	Pseudomonadota
A0A0E1NJ95	unreviewed	327	630		Bacteria	Pseudomonadota
