cluster,top_hit
1,tr|A0A9E3KV64|A0A9E3KV64_9BACT
11,tr|A0A328LRH8|A0A328LRH8_9BACI
12,tr|A0A7Y4YG49|A0A7Y4YG49_9BACT
13,tr|A0A0Q6RMD3|A0A0Q6RMD3_9HYPH
14,tr|A0A1G8H596|A0A1G8H596_9BURK
15,tr|A0A9X5ZA68|A0A9X5ZA68_BACCE
17,tr|A0A8A8DDA2|A0A8A8DDA2_9BURK
19,tr|A0A0R1K6M3|A0A0R1K6M3_9LACO
2,tr|A0A291E2U6|A0A291E2U6_9ENTR
20,tr|A0A3M4SFJ3|A0A3M4SFJ3_9PSED
22,tr|C0BUI6|C0BUI6_9BIFI
23,tr|A0A6B3BE16|A0A6B3BE16_9ACTN
24,tr|A0A602VGL5|A0A602VGL5_SALET
25,tr|A0A4Q8XWP3|A0A4Q8XWP3_RHILE
26,tr|A0A1X2YUW6|A0A1X2YUW6_BIFAD
27,tr|A0A419SW99|A0A419SW99_9FIRM
29,tr|A0A7Y9GNC7|A0A7Y9GNC7_9MICO
30,tr|A0A374IR84|A0A374IR84_9FIRM
32,tr|A0A1H9YUX4|A0A1H9YUX4_9BACI
33,tr|A0A4Z1DU93|A0A4Z1DU93_9STRE
34,tr|A0A414U8D0|A0A414U8D0_9FIRM
35,tr|A0A7I0EF84|A0A7I0EF84_9MICO
36,tr|A0A1Q4P5A9|A0A1Q4P5A9_SERMA
37,tr|A0A554W2D2|A0A554W2D2_9MICC
38,tr|A0A939J622|A0A939J622_9HYPH
40,tr|A0A7U6BA20|A0A7U6BA20_AERCA
41,tr|S5NTH4|S5NTH4_LIMRT
42,tr|A0A7Z0UCS0|A0A7Z0UCS0_9HYPH
43,tr|A5VJN3|A5VJN3_LIMRD
44,tr|A0A562K6T3|A0A562K6T3_9BACI
45,tr|A0A1G8VPE1|A0A1G8VPE1_9HYPH
46,tr|A0A1B9S1Y1|A0A1B9S1Y1_9HYPH
47,tr|B5XQK6|B5XQK6_KLEP3
48,tr|A0A5R9L2Z6|A0A5R9L2Z6_9BACT
49,tr|A0A9P1PTD7|A0A9P1PTD7_YEREN
5,tr|B6B517|B6B517_9RHOB
50,tr|F0Z5P3|F0Z5P3_9CLOT
51,tr|A0A0B5KS86|A0A0B5KS86_9THEM
52,tr|A0A0M6WPH5|A0A0M6WPH5_9FIRM
53,tr|Q2S744|Q2S744_HAHCH
54,tr|A0A564TF48|A0A564TF48_9FIRM
55,tr|U6SJL1|U6SJL1_9BACI
56,tr|A0A2A6K087|A0A2A6K087_9HYPH
57,tr|A0A3D8HI22|A0A3D8HI22_9BACT
58,tr|A0A6I4NUC5|A0A6I4NUC5_9FLAO
6,tr|A0A486PLX1|A0A486PLX1_KLEPN
60,tr|A0A372JZ03|A0A372JZ03_9BURK
9,tr|A0A7W3G6T7|A0A7W3G6T7_9ENTR
